MNPlot,Test,RepNo,Mat_Date_Ground
242044,242,2,29
242045,242,2,27
242046,242,2,32
242047,242,2,26
242048,242,2,19
242049,242,2,25
242050,242,2,26
242051,242,2,18
242052,242,2,21
242053,242,2,31
242054,242,2,15
242055,242,2,12
242056,242,2,25
242057,242,2,27
242058,242,2,26
242059,242,2,27
242060,242,2,26
242061,242,2,32
242062,242,2,15
242063,242,2,32
242064,242,2,30
264001,264,1,36
264002,264,1,26
264003,264,1,43
264004,264,1,25
264005,264,1,35
264006,264,1,33
264007,264,1,33
264008,264,1,31
264009,264,1,36
264010,264,1,26
264011,264,1,33
264012,264,1,50
264013,264,1,25
264014,264,1,42
264015,264,1,21
264016,264,1,20
264017,264,2,42
264018,264,2,29
264019,264,2,32
264020,264,2,50
264021,264,2,32
264022,264,2,35
264023,264,2,46
264024,264,2,26
264025,264,2,33
264026,264,2,27
264027,264,2,21
264028,264,2,20
264029,264,2,29
264030,264,2,25
264031,264,2,35
264032,264,2,35
264033,264,3,25
264034,264,3,35
264035,264,3,29
264036,264,3,33
264037,264,3,43
264038,264,3,21
264039,264,3,27
264040,264,3,50
264041,264,3,42
264042,264,3,26
264043,264,3,35
264044,264,3,34
264045,264,3,30
264046,264,3,34
264047,264,3,34
